playerID,yearID,stint,G,GS,InnOuts,PO,A,E,DP,PB,WP,SB,CS,ZR
daleype01,15666,8,367,277.0,7892.0,1473,144,11.0,21,25.0,50.0,106.0,56.0,7.0
daleyto01,9564,6,136,13.0,345.0,266,23,9.0,6,0.0,0.0,0.0,0.0,0.0
dalledo01,15540,8,505,0.0,0.0,1018,24,21.0,4,0.0,0.0,0.0,0.0,0.0
dallibr01,8018,4,18,8.0,271.0,12,32,2.0,6,0.0,0.0,0.0,0.0,0.0
dalryab01,22604,12,951,0.0,25479.0,1656,146,285.0,26,0.0,0.0,0.0,0.0,0.0
dalrybi01,1915,1,1,0.0,0.0,0,1,0.0,0,0.0,0.0,0.0,0.0,0.0
dalrycl01,23586,12,1003,869.0,23505.0,5557,566,78.0,79,91.0,218.0,320.0,306.0,30.0
daltoja01,7655,4,311,72.0,1926.0,590,30,22.0,9,0.0,0.0,0.0,0.0,0.0
daltomi01,1991,1,4,0.0,24.0,0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
dalybe01,5709,3,8,0.0,117.0,4,8,3.0,1,0.0,0.0,0.0,0.0,0.0
dalyge01,1909,1,3,3.0,63.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
dalyjo01,7563,4,25,0.0,516.0,43,19,13.0,0,7.0,0.0,23.0,15.0,0.0
dalysu01,1892,1,13,0.0,309.0,22,2,2.0,1,0.0,0.0,0.0,0.0,0.0
dalyto01,73815,40,1577,0.0,41304.0,4931,3746,657.0,498,155.0,0.0,251.0,111.0,0.0
dalyto02,24909,13,176,0.0,0.0,529,116,21.0,19,7.0,0.0,0.0,0.0,0.0
damasja01,3926,2,2,0.0,9.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
dambi01,1909,1,1,0.0,12.0,1,0,0.0,0,0.0,0.0,0.0,0.0,0.0
damicje01,16002,8,139,131.0,2352.0,40,75,1.0,4,0.0,0.0,0.0,0.0,0.0
damicje02,2000,1,7,1.0,41.0,1,1,0.0,0,0.0,0.0,0.0,0.0,0.0
dammabi01,5694,3,60,0.0,1104.0,16,83,11.0,2,0.0,0.0,0.0,0.0,0.0
damonjo01,44095,22,2075,1988.0,52152.0,4732,79,57.0,21,0.0,0.0,0.0,0.0,0.0
damraha01,1915,1,16,0.0,0.0,16,24,6.0,1,0.0,0.0,0.0,0.0,0.0
danekpa01,1999,1,3,2.0,45.0,0,3,0.0,0,0.0,0.0,0.0,0.0,0.0
daneyar01,1928,1,1,0.0,0.0,0,1,0.0,0,0.0,0.0,0.0,0.0,0.0
danfoda01,19187,10,286,0.0,0.0,35,262,13.0,8,0.0,0.0,0.0,0.0,0.0
daniebe01,13380,7,504,94.0,2496.0,1013,71,55.0,16,0.0,0.0,0.0,0.0,0.0
daniebe02,19612,10,231,139.0,2993.0,86,224,19.0,9,0.0,0.0,0.0,0.0,0.0
daniech01,3768,2,3,0.0,93.0,1,3,3.0,0,0.0,0.0,0.0,0.0,0.0
daniech02,1957,1,1,0.0,7.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
danieja01,1937,1,7,0.0,0.0,51,3,0.0,3,0.0,0.0,0.0,0.0,0.0
danieja02,1952,1,87,0.0,0.0,119,6,3.0,2,0.0,0.0,0.0,0.0,0.0
danieka01,19896,12,643,632.0,15556.0,1156,50,24.0,9,0.0,0.0,0.0,0.0,0.0
daniela01,18874,10,111,0.0,2697.0,351,115,77.0,12,70.0,0.0,0.0,0.0,0.0
daniepe01,3788,2,14,0.0,249.0,3,19,6.0,1,0.0,0.0,0.0,0.0,0.0
danieto01,3890,2,76,0.0,0.0,171,215,20.0,41,0.0,0.0,0.0,0.0,0.0
danisty01,6051,3,11,1.0,39.0,1,1,0.0,0,0.0,0.0,0.0,0.0,0.0
danksjo01,20115,10,247,247.0,4510.0,55,216,10.0,11,0.0,0.0,0.0,0.0,0.0
danksjo02,8054,4,157,86.0,2695.0,237,2,2.0,1,0.0,0.0,0.0,0.0,0.0
dannebu01,1915,1,3,0.0,0.0,5,4,3.0,0,0.0,0.0,0.0,0.0,0.0
danniha01,21316,11,802,0.0,0.0,3259,455,57.0,64,32.0,0.0,0.0,0.0,0.0
danniik01,1928,1,2,0.0,0.0,8,3,1.0,0,2.0,0.0,0.0,0.0,0.0
dantofa01,3889,2,48,0.0,0.0,152,16,14.0,0,1.0,0.0,0.0,0.0,0.0
dantoja01,2008,1,2,1.0,21.0,7,2,0.0,2,0.0,0.0,0.0,0.0,0.0
danziba01,1909,1,3,3.0,75.0,24,0,1.0,3,0.0,0.0,0.0,0.0,0.0
